,Company,TypeName,Inches,Ram(GB),OpSys,Weight(Kg),Price_euros,MemorySSD(GB),MemoryHDD(GB),MemoryFlash(GB),MemoryHybrid(GB),CPU_Company,CPU_Version,CPU_Speed(GHz),GPU_Company,GPU_Version,ScreenResolution_Type,ScreenResolution_Width,ScreenResolution_High
0,Apple,Ultrabook,13.3,8,macOS,1.37,1339.69,128.0,0.0,0.0,0.0,Intel,Core i5,2.3,Intel,Iris Plus Graphics 640,IPS Panel Retina Display,2560,1600
1,Apple,Ultrabook,13.3,8,macOS,1.34,898.94,0.0,0.0,128.0,0.0,Intel,Core i5,1.8,Intel,HD Graphics 6000,Unknown,1440,900
2,HP,Notebook,15.6,8,No OS,1.86,575.0,256.0,0.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Full HD,1920,1080
3,Apple,Ultrabook,15.4,16,macOS,1.83,2537.45,512.0,0.0,0.0,0.0,Intel,Core i7,2.7,AMD,Radeon Pro 455,IPS Panel Retina Display,2880,1800
4,Apple,Ultrabook,13.3,8,macOS,1.37,1803.6,256.0,0.0,0.0,0.0,Intel,Core i5,3.1,Intel,Iris Plus Graphics 650,IPS Panel Retina Display,2560,1600
5,Acer,Notebook,15.6,4,Windows 10,2.1,400.0,0.0,500.0,0.0,0.0,AMD,A9-Series 9420,3.0,AMD,Radeon R5,Unknown,1366,768
6,Apple,Ultrabook,15.4,16,Mac OS X,2.04,2139.97,0.0,0.0,256.0,0.0,Intel,Core i7,2.2,Intel,Iris Pro Graphics,IPS Panel Retina Display,2880,1800
7,Apple,Ultrabook,13.3,8,macOS,1.34,1158.7,0.0,0.0,256.0,0.0,Intel,Core i5,1.8,Intel,HD Graphics 6000,Unknown,1440,900
8,Asus,Ultrabook,14.0,16,Windows 10,1.3,1495.0,512.0,0.0,0.0,0.0,Intel,Core i7 8550U,1.8,Nvidia,GeForce MX150,Full HD,1920,1080
9,Acer,Ultrabook,14.0,8,Windows 10,1.6,770.0,256.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD,1920,1080
10,HP,Notebook,15.6,4,No OS,1.86,393.9,0.0,500.0,0.0,0.0,Intel,Core i5 7200U,2.5,Intel,HD Graphics 620,Unknown,1366,768
11,HP,Notebook,15.6,4,No OS,1.86,344.99,0.0,500.0,0.0,0.0,Intel,Core i3 6006U,2.0,Intel,HD Graphics 520,Full HD,1920,1080
12,Apple,Ultrabook,15.4,16,macOS,1.83,2439.97,256.0,0.0,0.0,0.0,Intel,Core i7,2.8,AMD,Radeon Pro 555,IPS Panel Retina Display,2880,1800
13,Dell,Notebook,15.6,4,Windows 10,2.2,498.9,256.0,0.0,0.0,0.0,Intel,Core i3 6006U,2.0,AMD,Radeon R5 M430,Full HD,1920,1080
14,Apple,Ultrabook,12.0,8,macOS,0.92,1262.4,256.0,0.0,0.0,0.0,Intel,Core M m3,1.2,Intel,HD Graphics 615,IPS Panel Retina Display,2304,1440
15,Apple,Ultrabook,13.3,8,macOS,1.37,1518.55,256.0,0.0,0.0,0.0,Intel,Core i5,2.3,Intel,Iris Plus Graphics 640,IPS Panel Retina Display,2560,1600
16,Dell,Notebook,15.6,8,Windows 10,2.2,745.0,256.0,0.0,0.0,0.0,Intel,Core i7 7500U,2.7,AMD,Radeon R5 M430,Full HD,1920,1080
17,Apple,Ultrabook,15.4,16,macOS,1.83,2858.0,512.0,0.0,0.0,0.0,Intel,Core i7,2.9,AMD,Radeon Pro 560,IPS Panel Retina Display,2880,1800
18,Lenovo,Notebook,15.6,8,No OS,2.2,499.0,0.0,1024.0,0.0,0.0,Intel,Core i3 7100U,2.4,Nvidia,GeForce 940MX,Full HD,1920,1080
19,Dell,Ultrabook,13.3,8,Windows 10,1.22,979.0,128.0,0.0,0.0,0.0,Intel,Core i5 8250U,1.6,Intel,UHD Graphics 620,IPS Panel Full HD / Touchscreen,1920,1080
20,Asus,Netbook,11.6,2,Windows 10,0.98,191.9,0.0,0.0,32.0,0.0,Intel,Atom x5-Z8350,1.44,Intel,HD Graphics 400,Unknown,1366,768
21,Lenovo,Gaming,15.6,8,Windows 10,2.5,999.0,128.0,1024.0,0.0,0.0,Intel,Core i5 7300HQ,2.5,Nvidia,GeForce GTX 1050,IPS Panel Full HD,1920,1080
